order_id,customer_id,order_date,status,region_code
1,,2025-06-21 12:05:12,RETURNED,CENTRAL
2,250,2024-03-02 22:43:53,SHIPPED,NORTH
3,554,2025-03-15 00:00:00,DELIVERED,EAST
4,521,2025-11-23 03:33:54,SHIPPED,SOUTH
5,85,2024-05-29 01:30:54,RETURNED,CENTRAL
6,68,2024-11-23 10:30:10,DELIVERED,WEST
7,211,2026-04-15 08:55:48,CANCELLED,WEST
8,74,2024-08-26 00:00:00,DELIVERED,NORTH
9,56,2024-10-03 12:01:43,DELIVERED,CENTRAL
10,265,2025-09-25 05:39:05,DELIVERED,WEST
11,399,2024-07-02 18:45:30,DELIVERED,CENTRAL
12,600,2024-03-11 16:59:28,PLACED,CENTRAL
13,309,2026-07-31 00:00:00,DELIVERED,WEST
14,32,2026-01-06 07:32:29,SHIPPED,WEST
15,559,2025-04-03 05:35:39,PLACED,EAST
16,12,2026-05-09 20:52:38,PLACED,NORTH
17,,2026-07-15 20:54:23,DELIVERED,NORTH
18,353,2024-11-24 22:07:31,DELIVERED,CENTRAL
19,189,2024-12-08 23:34:19,SHIPPED,NORTH
20,581,2024-03-25 11:44:34,RETURNED,CENTRAL
21,563,2024-04-23 15:01:38,PLACED,NORTH
22,595,2026-01-26 19:46:29,DELIVERED,SOUTH
23,72,2024-10-27 14:08:58,DELIVERED,CENTRAL
24,599,2024-08-24 17:41:45,DELIVERED,EAST
25,173,2024-01-08 12:08:44,DELIVERED,WEST
26,369,2024-07-27 15:17:03,SHIPPED,WEST
27,368,2025-04-19 12:48:50,PLACED,CENTRAL
28,288,2024-08-05 11:38:25,SHIPPED,NORTH
29,20,2026-02-26 20:58:40,CANCELLED,CENTRAL
30,218,2024-02-26 22:38:46,DELIVERED,CENTRAL
31,153,2025-07-22 06:42:25,CANCELLED,CENTRAL
32,298,2024-07-26 23:27:18,DELIVERED,WEST
33,11,2025-01-06 02:07:18,CANCELLED,CENTRAL
34,527,2024-08-06 01:23:55,SHIPPED,CENTRAL
35,150,2026-01-21 02:18:49,PLACED,WEST
36,271,2025-07-27 21:32:31,DELIVERED,CENTRAL
37,370,2025-08-25 21:09:35,DELIVERED,NORTH
38,,2025-05-18 10:14:48,RETURNED,EAST
39,270,2026-06-17 20:56:36,SHIPPED,WEST
40,80,2026-03-13 14:35:20,RETURNED,SOUTH
41,362,2025-06-19 23:44:14,DELIVERED,CENTRAL
42,,2024-08-03 21:06:50,SHIPPED,CENTRAL
43,217,2024-08-21 09:22:06,DELIVERED,NORTH
44,425,2025-05-27 23:40:17,DELIVERED,WEST
45,166,2025-09-30 00:00:00,PLACED,CENTRAL
46,138,2026-03-07 00:00:00,DELIVERED,NORTH
47,185,2026-03-13 13:45:39,DELIVERED,CENTRAL
48,291,2024-05-13 04:56:09,DELIVERED,WEST
49,175,2024-12-06 18:28:32,DELIVERED,CENTRAL
50,187,2026-03-04 12:11:14,DELIVERED,EAST
51,71,2024-12-23 00:04:44,PLACED,NORTH
52,517,2025-10-14 03:05:32,DELIVERED,SOUTH
53,40,2026-04-05 13:08:40,PLACED,WEST
54,553,2024-01-02 20:44:48,DELIVERED,WEST
55,380,2024-03-08 11:29:47,DELIVERED,WEST
56,391,2025-06-28 12:15:04,DELIVERED,CENTRAL
57,138,2025-01-30 09:07:11,SHIPPED,NORTH
58,557,2025-09-26 19:27:12,PLACED,NORTH
59,121,2026-03-18 00:00:00,DELIVERED,EAST
60,110,2024-08-28 10:33:49,DELIVERED,EAST
61,434,2026-05-27 04:25:56,SHIPPED,WEST
62,424,2026-05-07 15:57:51,DELIVERED,EAST
63,496,2025-01-29 05:30:58,DELIVERED,WEST
64,122,2024-12-22 22:29:42,DELIVERED,SOUTH
65,521,2025-09-14 05:59:34,CANCELLED,CENTRAL
66,54,2024-09-06 16:44:50,DELIVERED,NORTH
67,483,2026-07-21 10:46:19,PLACED,SOUTH
68,39,2025-08-20 00:42:43,DELIVERED,CENTRAL
69,59,2024-09-29 06:34:52,DELIVERED,SOUTH
70,531,2025-03-20 07:05:44,DELIVERED,CENTRAL
71,238,2024-09-20 06:46:48,DELIVERED,NORTH
72,89,2025-03-04 15:40:19,DELIVERED,WEST
73,206,2026-03-15 00:00:00,DELIVERED,NORTH
74,573,2026-06-24 13:17:44,RETURNED,EAST
75,200,2025-12-07 10:38:40,DELIVERED,EAST
76,519,2024-06-14 09:18:04,DELIVERED,EAST
77,526,2025-02-04 07:30:20,CANCELLED,CENTRAL
78,454,2025-08-08 18:34:18,DELIVERED,EAST
79,470,2025-12-16 16:54:10,CANCELLED,WEST
80,70,2025-08-17 11:05:33,RETURNED,SOUTH
81,423,2025-07-02 12:22:58,PLACED,EAST
82,96,2025-09-11 17:12:43,CANCELLED,NORTH
83,183,2026-01-10 07:16:30,SHIPPED,CENTRAL
84,195,2026-02-14 04:02:37,SHIPPED,SOUTH
85,212,2024-12-22 01:28:34,SHIPPED,CENTRAL
86,110,2024-07-05 05:23:38,DELIVERED,WEST
87,555,2024-03-06 15:41:00,DELIVERED,EAST
88,589,2025-03-02 18:47:23,RETURNED,CENTRAL
89,228,2026-06-14 19:38:11,DELIVERED,WEST
